iter	Accuracy	Logloss
0	0.9615384615	0.5426803052
1	0.9697802198	0.4377239125
2	0.967032967	0.3524912804
3	0.9752747253	0.2870688541
4	0.9835164835	0.2439272063
5	0.9835164835	0.2024893036
6	0.9835164835	0.1716200854
7	0.9835164835	0.1489999402
8	0.9835164835	0.1304780043
9	0.989010989	0.1159851606
10	0.989010989	0.1020612785
