iter	Passed	Remaining
0	0	70
1	1	68
2	2	68
3	2	67
4	3	66
5	4	65
6	4	65
7	5	64
8	6	63
9	6	62
10	7	62
11	8	61
12	9	60
13	9	60
14	10	59
15	11	58
16	11	58
17	12	57
18	13	56
19	13	55
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
