iter	Accuracy	Logloss
0	0.9532967033	0.5508221179
1	0.9642857143	0.4454791211
2	0.9697802198	0.3687993828
3	0.9697802198	0.3099398194
4	0.9752747253	0.2672321528
5	0.9752747253	0.2277313678
6	0.9807692308	0.1983410631
7	0.9835164835	0.1715534295
8	0.9835164835	0.1457532593
9	0.9862637363	0.1294059233
10	0.989010989	0.1176131455
11	0.9945054945	0.1058765434
12	0.9945054945	0.09687772901
13	0.9945054945	0.08820889267
14	0.9945054945	0.08207338076
15	0.9945054945	0.07670589769
16	0.9945054945	0.07126616401
17	0.9945054945	0.06682901453
18	0.9945054945	0.06269440719
19	0.9945054945	0.05930415817
20	0.9945054945	0.05456918665
21	0.9945054945	0.05185892725
22	0.9945054945	0.04817857788
23	0.9945054945	0.04575910459
24	0.9972527473	0.04245584692
