iter	Accuracy	Logloss
0	0.9362637363	0.5452755289
1	0.9472527473	0.4362949254
2	0.9604395604	0.345324948
3	0.9736263736	0.2887224763
4	0.978021978	0.2411521287
5	0.978021978	0.2073541183
6	0.978021978	0.1799116831
7	0.9802197802	0.1551307182
8	0.9824175824	0.1348476174
9	0.9824175824	0.1189644998
10	0.9846153846	0.1091253048
11	0.989010989	0.09748812756
12	0.9912087912	0.09063977529
