iter	Accuracy	Logloss
0	0.9285714286	0.5563706926
1	0.9340659341	0.456161973
2	0.9505494505	0.3813625366
3	0.9505494505	0.3268870774
4	0.9587912088	0.2825085679
5	0.967032967	0.2416795116
6	0.9725274725	0.2056067395
7	0.9752747253	0.1846867045
8	0.978021978	0.1635582068
9	0.9835164835	0.1455179439
10	0.9835164835	0.1334121871
11	0.9835164835	0.120219336
