iter	Passed	Remaining
0	0	71
1	1	69
2	2	68
3	2	67
4	3	66
5	4	66
6	4	65
7	5	64
8	6	63
9	7	63
10	7	62
11	8	65
12	9	64
13	10	63
14	11	62
15	11	61
16	12	60
17	13	60
18	13	59
19	14	58
